Player_name,Date_of_Birth,Position,Age,Place_of_Birth,Nation,Grip,Youth_Team,Height_cm,Height_ft,Weight_kg,Weight_lbs,Awards,Player_link
Alexei Antsiferov,1991-03-04 00:00:00,LW,32,"Novosibirsk, RUS","Kazakhstan
    
            / 
            Russia",R,Sibir Novosibirsk,185,"6'1""",85,187 lbs,"{""2014-2015"": [""Universiade Silver Medal""], ""2015-2016"": [""Kazakhstan Champion""], ""2016-2017"": [""Universiade Silver Medal""], ""2017-2018"": [""Kazakhstan Champion""], ""2018-2019"": [""Continental Cup Champion""]}",https://www.eliteprospects.com/player/43823/alexei-antsiferov
Zach Hamill,1988-09-23 00:00:00,C/RW,34,"Port Coquitlam, BC, CAN",Canada,R,Port Coquitlam MHA,180,"5'11""",82,181 lbs,"{""2004-2005"": [""U17 WHC Silver Medal""], ""2006-2007"": [""CHL First All-Star Team"", ""CHL Top Prospects Game"", ""WHL (West) First All-Star Team"", ""WHL Most Assists  (61)"", ""WHL Most Points (Bobby Clarke Trophy)  (93)""]}",https://www.eliteprospects.com/player/11053/zach-hamill
Anton Sagadeyev,1993-09-06 00:00:00,C,29,"Temirtau, KAZ",Russia,L,Temirtau,181,"5'11""",80,176 lbs,"{""2010-2011"": [""U18 WJC (D1|A) Bronze Medal"", ""U18 WJC (D1|A) Top Player on Team""], ""2011-2012"": [""U20 WJC (D1B) Silver Medal""], ""2012-2013"": [""U20 WJC (D1B) Silver Medal""], ""2016-2017"": [""Universiade Silver Medal"", ""World Championship (D1A) Bronze Medal""], ""2017-2018"": [""World Championship (D1A) Bronze Medal""], ""2018-2019"": [""World Championship (D1A) Gold Medal""]}",https://www.eliteprospects.com/player/69618/anton-sagadeyev
Ilyas Gafiullin,1993-02-15 00:00:00,G,30,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,177,"5'10""",77,170 lbs,"{""2011-2012"": [""MHL B Goaltender of the Month  (October)""], ""2017-2018"": [""VHL Playoffs Best SVS%  (.944)""]}",https://www.eliteprospects.com/player/107957/ilyas-gafiullin
Daniil Romanov,1994-09-02 00:00:00,G,28,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,189,"6'2""",80,176 lbs,{},https://www.eliteprospects.com/player/160598/daniil-romanov
Vladimir Sokhatsky,1989-12-29 00:00:00,G,33,"Ufa, RUS",Russia,L,Salavat Yulaev Ufa,184,"6'0""",81,179 lbs,"{""2009-2010"": [""MHL All-Star Game""], ""2011-2012"": [""VHL Best Goaltender"", ""VHL Champion"", ""VHL Goaltender of the Month  (March)"", ""VHL Playoffs Best GAA  (1.56)""], ""2012-2013"": [""VHL Champion"", ""VHL Goaltender of the Month  (April)"", ""VHL Goaltender of the Month  (March)"", ""VHL Goaltender of the Month  (February)"", ""VHL Playoffs MVP""], ""2020-2021"": [""VHL Champion""], ""2021-2022"": [""VHL Best GAA  (1.68)"", ""VHL Goaltender of the Month  (December)"", ""VHL Playoffs Best GAA  (1.72)""]}",https://www.eliteprospects.com/player/47548/vladimir-sokhatsky
Vyacheslav Volkov,1995-01-07 00:00:00,G,28,"Moskva, RUS",Russia,L,Severnaya Zvezda Moskva,179,"5'10""",78,172 lbs,"{""2015-2016"": [""MHL Goaltender of the Month  (February)""]}",https://www.eliteprospects.com/player/155378/vyacheslav-volkov
Teemu Hartikainen,1990-05-03 00:00:00,C/W,33,"Kuopio, FIN",Finland,L,KalPa,186,"6'1""",106,234 lbs,"{""2004-2005"": [""U16 Pohjola Camp Roster  (KalPa)""], ""2007-2008"": [""U20 SM-liiga Champion""], ""2008-2009"": [""SM-liiga Bronze Medal"", ""SM-liiga Most Goals by Rookie  (17)"", ""SM-liiga Rookie of the Year""], ""2010-2011"": [""AHL Rookie of the Month  (January)""], ""2018-2019"": [""KHL First All-Star Team"", ""KHL Forward of the Week  (Gagarin Cup 1st round)"", ""KHL Forward of the Week  (Gagarin Cup Semifinals)"", ""KHL Playoffs Best Plus/Minus  (+14)"", ""KHL Playoffs Most Points  (21)""], ""2020-2021"": [""KHL Most Points by Foreigner  (64)""], ""2021-2022"": [""Olympic Best Plus/Minus  (+8)"", ""Olympic Gold Medal"", ""World Championship Gold Medal""], ""2022-2023"": [""NL Champion  (Gen\u00e8ve-Servette)"", ""NL Media All-Star Team  (Gen\u00e8ve-Servette)"", ""NL Most Goals  (28)""]}",https://www.eliteprospects.com/player/11365/teemu-hartikainen
Mikhail Demidov,1986-06-20 00:00:00,G,36,"Yekaterinburg, RUS",Russia,L,-,183,"6'0""",88,194 lbs,"{""2011-2012"": [""VHL Goaltender of the Month  (April)""], ""2017-2018"": [""Kazakhstan Best Goaltender"", ""Kazakhstan Champion""], ""2018-2019"": [""Continental Cup Champion""]}",https://www.eliteprospects.com/player/99537/mikhail-demidov
Yevgeni Belokhvostikov,1992-01-02 00:00:00,D,31,"Zavolzhye, RUS",Russia,L,Motor Zavolzhye,192,"6'4""",94,207 lbs,{},https://www.eliteprospects.com/player/77247/yevgeni-belokhvostikov
